Word	Norwegian-no	Valence	Arousal	Dominance
aaaaaaah	aaaaaaah	0.479	0.606	0.291
aaaah	NO TRANSLATION	0.520	0.636	0.282
aardvark	aardvark	0.427	0.490	0.437
aback	bakk	0.385	0.407	0.288
abacus	kuleramme	0.510	0.276	0.485
abalone	sjøøre	0.500	0.480	0.412
abandon	forlate	0.052	0.519	0.245
abandoned	forlatt	0.046	0.481	0.130
abandonment	oppgivelse	0.128	0.430	0.202
abashed	beskjemmet	0.177	0.644	0.307
abate	avta	0.255	0.696	0.604
abatement	minking	0.388	0.338	0.336
abba	abba	0.562	0.500	0.480
abbey	kloster	0.580	0.367	0.444
abbot	NO TRANSLATION	0.427	0.321	0.483
abbreviate	forkorte	0.531	0.375	0.330
abbreviation	forkortelse	0.469	0.306	0.345
abdomen	mage	0.469	0.462	0.471
abdominal	abdominal	0.490	0.456	0.445
abduct	bortføre	0.173	0.720	0.615
abduction	bortføring	0.062	0.990	0.673
aberrant	avvik	0.146	0.765	0.431
aberration	aberrasjon	0.125	0.816	0.417
abeyance	bero	0.330	0.510	0.292
abhor	avsky	0.125	0.602	0.349
abhorrence	avsky	0.167	0.684	0.420
abhorrent	avskyelig	0.229	0.750	0.474
abide	holde	0.635	0.354	0.705
abiding	Abiding	0.796	0.327	0.750
ability	evnen	0.875	0.510	0.816
abject	ynke	0.354	0.590	0.417
ablation	ablasjon	0.418	0.500	0.500
ablaze	brann	0.240	0.847	0.525
able	i stand	0.786	0.500	0.810
abnormal	unormal	0.137	0.604	0.309
abnormality	abnormitet	0.092	0.655	0.383
aboard	ombord	0.698	0.284	0.481
abode	bolig	0.620	0.302	0.500
abolish	avskaffe	0.448	0.615	0.529
abolition	avskaffelse	0.323	0.690	0.529
abominable	avskyelig	0.120	0.731	0.482
abominate	avsky	0.198	0.788	0.366
abomination	styggedom	0.078	0.755	0.518
aboriginal	opprinnelig	0.448	0.427	0.542
abort	avbryte	0.153	0.686	0.429
abortion	abort	0.082	0.770	0.283
abortive	mislykket	0.090	0.776	0.280
abound	florerer	0.704	0.490	0.681
abovementioned	nevnte	0.541	0.298	0.509
abracadabra	abrakadabra	0.673	0.632	0.434
abrasion	slitasje	0.406	0.592	0.441
abrasive	slip	0.392	0.610	0.593
abreast	à jour	0.635	0.380	0.519
abroad	i utlandet	0.677	0.596	0.561
abrogate	oppheve	0.327	0.510	0.594
abrupt	brå	0.271	0.819	0.545
abruptly	brått	0.250	0.808	0.556
abscess	abscess	0.154	0.451	0.349
absence	fravær	0.153	0.235	0.266
absent	fraværende	0.177	0.221	0.116
absentee	fraværende	0.235	0.330	0.279
absenteeism	fravær	0.404	0.273	0.357
absinthe	absint	0.481	0.510	0.462
absolute	absolutte	0.526	0.510	0.827
absolution	absolusjon	0.715	0.500	0.664
absolve	frikjenne	0.684	0.449	0.660
absorb	absorbere	0.469	0.558	0.670
absorbed	absorbert	0.490	0.471	0.519
absorbent	absorberende	0.552	0.394	0.718
absorbing	absorberende	0.490	0.490	0.578
absorption	absorpsjon	0.609	0.422	0.446
abstain	avstå	0.385	0.385	0.427
abstention	abstention	0.271	0.264	0.509
abstinence	avholdenhet	0.260	0.392	0.429
abstract	abstrakt	0.438	0.292	0.444
abstraction	abstraksjon	0.469	0.439	0.525
absurd	absurd	0.188	0.656	0.284
absurdity	absurditet	0.115	0.528	0.227
abundance	overflod	0.812	0.690	0.852
abundant	rikelig	0.958	0.590	0.760
abuse	misbruke	0.071	0.873	0.469
abused	misbrukt	0.021	0.874	0.235
abusive	fornærmende	0.125	0.903	0.567
abutment	anslags	0.500	0.265	0.616
aby	NO TRANSLATION	0.385	0.452	0.368
abysmal	abysmal	0.250	0.710	0.598
abyss	avgrunnen	0.353	0.725	0.296
academic	akademisk	0.781	0.420	0.812
academy	akademi	0.704	0.473	0.792
accede	tiltre	0.698	0.510	0.537
accelerant	accelerant	0.643	0.844	0.802
accelerate	akselerere	0.615	0.902	0.759
accelerated	akselerert	0.610	0.812	0.682
acceleration	akselerasjon	0.704	0.905	0.843
accelerator	akselerator	0.593	0.830	0.812
accent	aksent	0.598	0.357	0.509
accentuate	fremheve	0.673	0.556	0.667
accept	aksepterer	0.847	0.286	0.565
acceptable	akseptabel	0.812	0.286	0.583
acceptance	godkjennelse	0.833	0.287	0.755
acceptances	aksepter	0.847	0.413	0.648
access	adgang	0.714	0.472	0.567
accessible	tilgjengelig	0.796	0.410	0.645
accession	tiltredelse	0.612	0.383	0.636
accessory	tilbehør	0.562	0.292	0.445
accident	ulykke	0.125	0.908	0.336
accidental	utilsiktet	0.319	0.784	0.307
accidentally	ved et uhell	0.333	0.741	0.333
acclaim	anerkjennelse	0.562	0.809	0.718
accolade	utmerkelse	0.688	0.591	0.775
accommodate	imøtekomme	0.844	0.375	0.566
accommodation	overnatting	0.817	0.415	0.587
accompaniment	akkompagnement	0.740	0.479	0.695
accompany	ledsage	0.833	0.406	0.585
accompanying	medfølgende	0.787	0.460	0.582
accomplice	medskyldig	0.408	0.580	0.510
accomplish	utrette	0.929	0.673	0.816
accomplished	oppnås	0.870	0.520	0.798
accomplishment	gjennomføring	0.917	0.694	0.888
accord	accord	0.898	0.264	0.382
accordance	samsvar	0.659	0.349	0.600
accordion	trekkspill	0.604	0.490	0.361
account	konto	0.531	0.347	0.472
accountability	ansvarlighet	0.755	0.537	0.833
accountable	ansvarlig	0.709	0.282	0.777
accountant	regnskapsfører	0.625	0.450	0.639
accounting	regnskap	0.552	0.390	0.677
accounts	kontoer	0.592	0.340	0.471
accredited	akkreditert	0.669	0.479	0.768
accretion	Tilveksten	0.448	0.519	0.672
accrue	påløpe	0.520	0.481	0.602
accueil	NO TRANSLATION	0.450	0.451	0.470
accumulate	akkumulere	0.573	0.536	0.607
accumulation	akkumulering	0.479	0.527	0.600
accuracy	nøyaktighet	0.604	0.481	0.802
accurate	korrekt	0.743	0.360	0.737
accursed	forbannet	0.135	0.745	0.345
accusation	anklage	0.073	0.718	0.564
accusative	akkusativ	0.198	0.755	0.482
accuse	beskylde	0.133	0.752	0.500
accused	tiltalte	0.130	0.670	0.420
accuser	anklageren	0.122	0.779	0.615
accusing	anklagende	0.156	0.745	0.324
accustomed	vant	0.542	0.365	0.441
ace	ess	0.643	0.481	0.546
acetic	eddiksyre	0.333	0.420	0.519
acetylene	acetylen	0.306	0.469	0.509
ache	smerte	0.146	0.760	0.312
achieve	oppnå	0.816	0.545	0.843
achieved	oppnådd	0.896	0.519	0.775
achievement	oppnåelse	0.896	0.808	0.759
aching	verk	0.053	0.880	0.348
achy	verk	0.167	0.840	0.373
acid	syre	0.265	0.642	0.566
acidity	surhet	0.156	0.663	0.360
acknowledge	anerkjenne	0.786	0.370	0.661
acknowledged	anerkjente	0.714	0.443	0.765
acknowledgement	bekreftelse	0.819	0.539	0.830
acknowledgment	bekreftelse	0.796	0.528	0.777
acme	acme	0.408	0.435	0.375
acne	kviser	0.167	0.474	0.308
acorn	eikenøtt	0.448	0.198	0.192
acoustic	akustisk	0.542	0.462	0.536
acoustics	akustikk	0.611	0.330	0.509
acquaint	kjent	0.646	0.491	0.639
acquaintance	bekjent	0.656	0.290	0.670
acquainted	kjent	0.906	0.358	0.632
acquiescence	samtykke	0.542	0.480	0.554
acquire	tilegne	0.833	0.468	0.700
acquiring	anskaffe	0.735	0.510	0.817
acquisition	oppkjøp	0.698	0.509	0.736
acquisitions	oppkjøp	0.773	0.660	0.790
acquit	frikjenne	0.583	0.571	0.611
acquittal	frifinnelse	0.760	0.497	0.700
acre	acre	0.583	0.387	0.423
acreage	areal	0.741	0.450	0.528
acres	dekar	0.510	0.363	0.500
acrobat	akrobat	0.708	0.828	0.602
acrylic	akryl	0.582	0.279	0.420
act	handling	0.656	0.704	0.735
acting	skuespill	0.698	0.643	0.500
action	handling	0.760	0.898	0.802
action figure	action-figur	0.615	0.774	0.611
actionable	handlings	0.673	0.702	0.613
activate	aktivere	0.764	0.650	0.806
activation	aktivering	0.781	0.800	0.754
active	aktiv	0.847	0.730	0.731
activist	aktivist	0.531	0.653	0.877
activity	aktivitet	0.701	0.660	0.807
actor	skuespiller	0.653	0.561	0.629
actress	skuespillerinne	0.633	0.556	0.596
actual	faktiske	0.729	0.400	0.716
actuality	Aktualitet	0.750	0.464	0.600
actuary	aktuar	0.510	0.404	0.491
acuity	skarphet	0.469	0.378	0.741
acumen	sans	0.564	0.660	0.679
acupuncture	akupunktur	0.531	0.324	0.549
acute	akutt	0.427	0.652	0.534
acutely	akutt	0.417	0.543	0.491
ad	annonse	0.521	0.705	0.558
adage	munnhell	0.517	0.415	0.566
adamant	ubøyelig	0.344	0.529	0.575
adapt	tilpasse	0.740	0.355	0.551
adaptable	tilpasningsdyktig	0.735	0.423	0.641
adaptation	tilpasning	0.663	0.365	0.609
add	Legg til	0.728	0.490	0.554
added	la til	0.562	0.405	0.509
addendum	addendum	0.392	0.370	0.418
adder	huggorm	0.388	0.461	0.588
addict	stoffmisbruker	0.075	0.696	0.327
addicted	avhengige	0.156	0.712	0.483
addiction	avhengighet	0.180	0.806	0.420
addictive	vanedannende	0.302	0.683	0.472
addition	addisjon	0.562	0.373	0.471
additional	ytterligere	0.673	0.462	0.526
additive	tilsetningsstoff	0.561	0.633	0.691
address	adresse	0.650	0.327	0.567
addressee	adressat	0.622	0.382	0.538
addresses	adresser	0.510	0.354	0.450
adept	dyktig	0.594	0.539	0.789
adequacy	tilstrekkelighet	0.615	0.435	0.702
adequate	tilstrekkelig	0.854	0.264	0.705
adhere	over	0.633	0.339	0.554
adherence	binding	0.760	0.307	0.630
adherent	tilhenger	0.561	0.385	0.555
adhering	holde	0.612	0.561	0.537
adhesion	adhesjon	0.521	0.445	0.586
adhesive	klebe	0.604	0.350	0.413
adieu	adjø	0.250	0.471	0.342
